,2021 Jan,,,,2021 Feb,,,,2021 Mar,,,,2021 Apr,,,,2021 May,,,,2021 Jun,,,,2021 Jul,,,,2021 Aug,,,,2021 Sep,,,,2021 Oct,,,,2021 Nov,,,,2021 Dec,,,,2022 Jan,,,,2022 Feb,,,,2022 Mar,,,,2022 Apr,,,,2022 May,,,,2022 Jun,,,,2022 Jul,,,,2022 Aug,,,,2022 Sep,,,,2022 Oct,,,,2022 Nov,,,,2022 Dec,,,
States_Code,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths
DE,19454,277066,307,5216,9681,330146,188,6239,6238,358867,84,6683,10666,491492,85,8733,3896,421410,40,7236,1046,428777,26,7360,1321,540674,16,9287,6401,448794,47,7550,14607,618459,128,9895,10418,547335,108,8442,8091,579922,83,8798,23531,801460,152,11567,69968,876438,288,10244,12090,1005057,184,11233,2721,1278485,73,14521,3873,1035122,22,11769,12182,1068229,29,11870,11134,1400684,41,15012,8454,1155267,37,12171,8301,1190695,41,12335,6961,1523636,44,15608,4195,1241002,27,12640,3335,1255777,32,12748,6010,1592098,50,16143
FL,370048,6204560,4289,96126,209490,7273201,4517,114895,135905,7892311,2504,128588,200980,10702950,2176,171030,93595,9148215,1612,144291,38273,9359587,913,148730,169096,12125361,1115,190972,547979,11490969,3582,162640,511318,17139905,11327,243894,95853,14608153,5221,228593,42839,14825228,2253,241658,186249,18919053,1285,309738,1416690,19176654,1419,252041,493529,22769810,5132,267686,67036,29330792,4121,358633,57720,23666065,801,294289,159060,24114676,504,296468,361244,31576137,1160,374426,296620,26586110,1499,305543,238723,27692144,1922,312938,151818,35515736,2242,401905,42647,28710332,1036,327160,46642,28886956,699,330491,99337,36464874,1036,417194
FSM,1,3,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,4,0,0,6,24,0,0,0,28,0,0,0,35,0,0,0,28,0,0,0,28,0,0,0,35,0,0,0,28,0,0,0,28,0,0,0,35,0,0,2,30,0,0,21,72,0,0,8,178,0,0,2731,3033,4,4,4156,27022,18,73,3889,47657,9,146,11001,84302,24,211,219,88130,0,220,35,110224,3,290
GA,230862,3218463,2803,49394,108450,3840570,3414,63341,55328,4130708,1597,72643,47851,5391150,1414,97819,24079,4456588,634,81840,10636,4513120,629,84440,39283,5739959,318,107625,176789,5073701,747,88126,225815,7517884,3528,121584,57511,6459096,2924,111334,28133,6595034,1502,119436,132541,8533989,1000,154688,514004,8368968,1249,127608,152838,9716570,2491,136568,36694,12399674,1823,181547,19141,10029119,873,150054,41318,10149830,392,152338,91552,13042159,390,191858,103347,10834023,457,155425,101790,11264085,578,157521,52559,14452287,674,200051,15371,11660862,346,161997,16640,11724615,397,163433,47918,14819901,393,206256
GU,260,29911,8,504,161,30723,1,519,60,31066,4,532,170,39359,2,678,195,32361,3,556,162,33005,0,556,213,42291,4,708,1338,36584,2,575,5174,65012,52,859,2999,68036,38,893,1106,75533,28,1031,420,96877,7,1343,10655,98808,14,1106,13615,158898,37,1237,3429,232165,25,1692,848,191211,8,1414,794,194344,8,1436,2991,252508,9,1843,3159,215323,9,1502,2542,226892,9,1544,965,291542,12,1980,187,234701,0,1604,438,236068,6,1622,737,298048,4,2050
HI,4199,97249,49,1771,1769,107741,16,1869,1824,113958,16,1930,3433,157326,13,2480,2337,137343,25,2066,1449,144003,7,2126,3876,191099,49,2797,17211,200142,194,2770,20746,358767,258,4759,4780,326630,61,4313,2905,339978,26,4449,20998,464709,41,5703,104053,686557,194,5071,24730,924002,72,5642,4716,1194042,16,7206,7825,978477,10,5795,26695,1052846,41,5902,34638,1488616,89,7751,16942,1281424,42,6430,11958,1338768,29,6576,6533,1714026,24,8356,4481,1391563,5,6732,4109,1408563,17,6762,5518,1785209,27,8586
IA,36050,1216840,678,17186,18551,1314941,914,20870,12928,1371406,273,22450,16704,1791010,244,29261,6730,1476508,113,24016,2191,1489780,76,24373,5613,1878897,63,30798,21251,1562726,85,24897,51410,2146231,295,32091,31917,1890706,402,27212,35450,2017703,389,28857,54173,2757647,504,38227,126827,2583133,641,33036,47789,2948944,584,35517,10767,3784299,346,46583,4638,3043941,99,37964,13083,3081832,58,38242,20060,3940931,102,48194,20392,3232791,93,38960,21151,3321048,124,39449,18192,4250173,170,50023,6994,3441221,102,40549,7972,3470859,99,40965,15514,4402105,146,51758
ID,21347,617275,310,6402,9080,669362,125,7193,8253,701539,113,7662,8722,920442,91,10018,4469,760467,44,8275,2782,774207,53,8473,4998,984333,50,10848,16545,836786,125,9039,39356,1192630,539,12897,33506,1107680,646,13072,16207,1200092,391,14995,13328,1564992,269,20264,50207,1375665,197,17100,50503,1610908,356,18335,24745,2193419,158,24137,1907,1780600,50,19630,4517,1793179,13,19719,12642,2286191,35,24755,14705,1888298,58,20013,9645,1936679,73,20286,8155,2462490,71,25716,4344,1992927,45,20802,4942,2011080,35,20958,6831,2545437,64,26450
IL,156805,4238864,3140,79588,67157,4633282,1625,88084,48361,4835697,833,92584,100751,6436988,801,119365,49937,5454873,847,98993,11490,5547501,550,101789,25691,7004438,286,128951,83449,5854666,444,104525,125142,7894332,1284,135340,66109,6670944,930,112861,94627,6970818,708,116041,334262,9726862,1650,150632,748137,10395171,3223,130786,155278,11951673,2477,143365,44006,15252357,1036,186827,61553,12400001,237,151259,146221,12864345,233,152083,151622,16844674,455,191830,124611,14004798,277,154971,110752,14492828,389,156362,96953,18626850,429,197491,46369,15144101,280,159360,56202,15357886,297,160515,102330,19610176,390,202322
IN,112156,2328837,1823,42139,40869,2584136,1330,48118,21996,2687151,506,51273,37522,3510092,338,65879,24136,2936150,260,53906,10411,2994559,240,54913,16515,3800529,182,69631,65343,3211863,347,56687,127036,4574007,1284,75180,56788,3997045,1014,65118,66696,4219216,748,68409,150431,5854140,1602,91486,339888,5758364,2068,80890,103821,6641077,1637,88579,12415,8437280,710,116008,9727,6782314,162,94062,27048,6862971,123,94563,44365,8768036,189,118997,51113,7207611,208,95993,59231,7441755,292,97063,39466,9553446,330,122883,15572,7721957,192,99253,21856,7803645,239,100180,43339,9929079,331,126552
