,,2021 Jan,,2021 Feb,,2021 Mar,,2021 Apr,,2021 May,,2021 Jun,,2021 Jul,,2021 Aug,,2021 Sep,,2021 Oct,,2021 Nov,,2021 Dec,,2022 Jan,,2022 Feb,,2022 Mar,,2022 Apr,,2022 May,,2022 Jun,,2022 Jul,,2022 Aug,,2022 Sep,,2022 Oct,,2022 Nov,,2022 Dec,
States,States_Code,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed,Total_vaccinations,Total_distributed
Hawaii,HI,1250364,2858900,6667445,9283500,16906891,22456770,28403656,36796660,43128445,49865060,49178602,57245010,44216592,51081850,54178634,63235600,45820307,55994190,56024023,70835670,50758814,67960930,29686442,40011050,40192433,47673700,69074862,81845200,87575130,103463480,77565057,92115260,79577457,95077060,54146698,65016640,12382588,14927720,15726830,19056800,12739987,15834320,13158621,16742220,16896531,21659950,13751566,17673750
Idaho,ID,1347619,3117175,6813212,9008830,17778433,22348265,26273584,34591280,35057720,45893580,38477948,49322560,39144735,49670520,43818858,57604880,42441776,59446040,47657809,67836280,45100228,65954100,52994897,76711650,55534036,79170660,58525651,79232230,71485165,97536100,65442153,90306230,42105533,58310530,,,,,12892970,19318550,10434183,16073560,10726248,16862960,13877252,21973500,11306193,18037950
Illinois,IL,11047271,22355875,50489749,70812875,135980001,170103055,226962784,287504445,318463160,396420550,369845292,433551470,399541448,448634970,350522493,397024295,,,48337687,58415125,202537406,247040160,318732790,380822345,350667670,417008155,215796399,258627070,109197466,131396875,,,,,115533132,142867625,93731584,118253710,118813224,151846275,96511658,127470900,99781531,135264700,77077898,106345480,52349221,72302330
Indiana,IN,7144065,13495900,27917034,37777590,67957095,84496980,105696168,138409820,140638171,179060560,161039930,197410840,177799506,204955660,193476084,227162890,184471713,225404180,202821234,252468610,187342031,242373550,220571105,286801940,229241386,304697620,227888036,308761900,287209139,395983780,254477607,357067960,259382351,367996660,177030922,251960140,40592737,58209720,51291652,75156900,41379169,63029120,42077732,66110920,53944047,86614105,43882902,71273030
Iowa,IA,2852516,5408375,12493313,16933910,35418715,42084015,60044658,71114640,79396454,92437550,88472604,102059480,92675198,105558590,99809195,115207365,94741565,114130830,103970742,129195585,98908615,125785675,119383611,148407215,123735685,153974850,122168233,153706695,153509154,195542605,136068717,175553285,139306045,181785385,94267230,124437990,21252348,28743520,26946125,37102775,21836600,31185320,22565094,32895520,29331221,43111030,23936650,35375900
Kansas,KS,2448771,5588150,10705214,16293280,29051591,41130065,51464165,68400470,65770277,86132070,72223820,91098560,77116106,94325910,86985105,105786545,84254598,104878620,93185390,117556765,87756357,114220605,104877494,134552745,109912786,141051110,39090059,50265515,,,,,,,46506716,63238050,18833150,26290360,23944891,33901675,19402865,28201860,19976408,29528860,25808134,38508105,21038336,31575950
Kentucky,KY,4547107,8145250,18544403,25337900,48484571,59554725,80916185,99809950,102330203,124723340,114825281,131881210,118712291,132266745,135455595,152870895,4569505,5225825,14677028,19132395,128894482,169089655,153252971,196893055,158148005,204617340,156474910,205669615,197217180,263395325,174416273,235951425,177377309,243068025,119732008,166295350,26952358,38353600,34139840,49452275,27588594,41252600,28254704,43245200,36345699,56320245,29485560,46116920
Louisiana,LA,5103586,8725075,19201578,24629700,46543687,62577600,69833462,97650730,87410944,113732910,96619530,119626860,104740134,124727020,121749261,151221740,122598980,156121230,136623164,173645710,125867049,163558740,146684304,183919330,151508553,191776970,149999060,192588150,189300897,247029350,167183110,219666950,169613469,225140150,114509531,153575600,25774298,35262900,32578540,44947050,26230135,36971400,26648171,38090200,33901782,48823720,27405486,39658540
Maine,ME,1573305,2957075,6135639,8380805,15963292,19450300,27886050,32336150,40361010,48346600,46677538,54754270,49265699,56489180,52781644,61131520,49967170,58519320,54821103,65238380,52398105,63212250,64149340,75452960,67722247,78962430,53554727,62691000,43567894,51682800,64066121,76770650,77877856,93670350,53026171,64312400,11999443,14909200,15193612,19182550,12344407,16239400,12857339,17328700,16784990,23040800,13762645,18746770
Marshall Islands,MH,40864,217600,184258,552200,509793,1071800,714342,1446000,807455,1436400,944546,1539000,1043195,1539000,1082580,1487700,1070148,1408800,1199585,1630000,1099685,1552030,1265558,1842760,1279415,1802480,922363,1411640,1788214,2800680,1705892,2625160,1855241,2888960,1316702,1942240,310970,442720,412258,591700,352624,530920,276832,424440,463325,741400,372344,610100
Maryland,MD,5349775,12181400,23673668,34889620,63677695,82294270,115755405,144390420,165141453,212200880,195723568,248533010,211590857,258558460,229416763,280220680,218387557,272746310,205319178,258607270,206558962,268381460,269119281,344737270,282960721,365174720,283895731,369049810,359926794,470077730,237918896,312529700,328976542,434649290,223865947,297950160,50751434,69028380,64430537,88857750,52430859,74908780,54303529,79190880,70304085,104446620,57382687,84587900
Massachusetts,MA,6575752,14117575,29985730,41463945,82952009,96010350,147923265,174014250,216173465,253935110,255135938,287282970,270070603,296020160,288385912,316772970,270067427,301083800,293180084,331439880,274698361,319960890,332705152,378595700,352770050,398690550,295843452,333669350,387872927,440652210,395064809,450932470,405408135,464593370,275020462,317066380,62080946,72713400,78553734,93153550,63839712,78198480,66227688,83056680,86193882,110297135,70626035,89497190
Michigan,MI,10517322,18420650,43236737,55538790,102605547,131382090,175611001,229997020,239797793,314330790,272677167,343661180,288644948,353408090,309622928,384949890,291380551,371012610,245610478,312560380,301945139,393774130,361910170,468253390,375575527,490379510,343648177,450953100,476740048,627413690,423084911,564028070,432631801,583425870,292591430,399987980,65666920,92211740,83155628,118614150,67483870,99478040,69728818,104815340,90060014,136599790,73282075,112012700
Minnesota,MN,5305028,11276475,24604231,31701755,63976973,73892650,108348835,122935450,148115669,171482710,169571598,193233490,179463361,198501020,193088542,216424060,182938097,212399330,201183717,238199690,193379284,231038120,236097669,281933110,246262463,295715800,245048161,294906050,308987611,374076890,274302609,335342910,282007274,348244710,191686938,239033040,43359118,55253050,55036852,71213400,44743054,60009940,46553359,64063240,60818661,84480805,49862968,69420860
Mississippi,MS,2549637,5642875,11064913,16746840,27985423,40199675,42021229,64562800,50662280,75853060,55245838,78890230,61578253,81708970,71596348,98207445,74728657,103382680,83746074,114601945,77259114,108187455,89610128,122722345,93514732,128264650,93060124,129291355,117392076,165743065,103514524,147559005,105116208,151426205,70889903,103526770,15955330,23895260,20243195,30694375,16309273,25500460,16491351,26352560,20964627,33948635,16945198,27744830
Missouri,MO,5008534,11176550,20680030,29112130,59938647,79315565,100071150,135223320,131556918,169045100,146893226,180753300,158315989,188771220,177245782,214918655,171807034,214255130,190110352,235990815,177257342,223805235,210566604,259788105,216457994,271168860,214428043,271245825,269996176,346046935,238748167,308819635,243335044,318023335,164544178,217002190,37136682,49977320,47078984,64174325,38094483,53504720,39147836,56060020,50573978,73030975,41209074,59659010
Montana,MT,1189986,1981350,4945884,5923610,12407258,15606895,19684961,25782740,24580133,31325400,27171040,32957170,28708699,33702480,30883255,36627185,29645906,36248900,33067382,40935685,31470144,39584895,37507025,45867345,38463602,46857330,38031931,46437835,47860262,58801245,42332099,52595565,43251119,54184965,27622558,34979515,6594225,8569680,8340236,11007575,6751181,9188980,6962585,9688080,8979626,12647675,7313602,10369640
Nebraska,NE,2089544,4102775,7739389,11164865,21713575,27053290,36280578,45019630,47439646,57146280,53276208,61613190,55109442,61633020,62052282,69922730,59393531,69027290,65360889,77881220,61398763,75361670,73846961,89023630,76788167,92969970,76211361,92813430,96116780,117871210,85478825,105520970,87172920,108798670,58891324,74466980,13300352,17248970,16897497,22185700,13672868,18546460,14013439,19497160,18220311,25413230,14887119,20803360
Nevada,NV,2394475,4838325,12133385,15690960,31755172,38981850,52159116,64192630,69060859,81390710,79148664,89859860,86174137,95371700,95696996,108476500,92717158,108776890,102137120,121213410,94893243,114974220,111839217,133128230,116686771,139115590,116357515,139406190,147490465,177427010,130776114,158282570,133252395,162838370,90052005,111166180,20255072,25477140,25594513,32577850,10289259,13337520,,,,,16462433,22181550
New Hampshire,NH,1498038,2790450,5788043,8331785,14640151,18535605,13056616,14042705,13627493,17005005,44148503,53676830,47031255,56065830,45844073,55062840,48207007,58666580,53502644,64683070,37860000,47154180,,,,,,,,,,,,,,,,,,,2582617,4288400,10657300,17742900,13702824,23533360,11570965,19282740
New Jersey,NJ,8257763,15600350,37349956,48507975,99403301,117624580,179286807,207143970,248499402,300091630,151425677,180260240,303445917,354021490,331177726,388826615,293770349,353832930,345720526,420817475,321932489,404522235,384821089,482114995,405869590,512457290,408312158,514671295,517584082,656427425,459359236,585805885,469119142,603530685,299679348,389433735,71381886,94634780,90190782,121223175,72897117,101365660,74729120,105944960,95718450,138430045,77717454,112220210
New Mexico,NM,2937407,4316650,12311227,13418760,30277934,34043505,46808183,54076560,12987427,14557725,56381824,58374325,70623496,69722285,79340812,79157415,37618856,38968680,16824600,19313060,74293208,86572455,89032923,100962085,92671459,104335200,92818575,104664565,117773099,132766895,104733146,118402915,107491498,122222515,72981599,83466010,16474072,19252480,20876388,24639625,16916045,20561380,17438819,21754080,22658906,28714075,18511291,23506560
New York State,NY,21065311,39535100,80701111,110384370,206003981,271452415,384613586,464213360,533960103,630273190,623813104,702480550,672201822,734475460,733255145,809744275,705997577,801347340,776434709,892314735,715063783,853058515,870013729,1011254755,930522252,1076901270,932685909,1078913255,1181914125,1376390475,1047341075,1227118485,1068191191,1260216385,721019429,857838090,162197809,196378710,204585372,250948275,165525815,209605280,169742505,219601280,217771175,285633990,176990911,233466730
North Carolina,NC,9733409,20160250,42321448,55076295,110331816,138807490,178401009,239653060,230401155,321069590,244798678,334519730,284872210,356674750,312325815,392771530,305985182,390065030,344413677,438534080,323619728,426491030,385007249,494076160,401622724,512656890,398534825,512809800,503371194,653766300,446120722,585305900,455463505,603993400,308272405,413258400,69452178,95279020,87945641,122549100,71309215,102594780,73254918,107790280,94211069,140986290,76553444,114977650
North Dakota,ND,1132835,1446325,4029931,4427020,9996402,11223560,15115673,17136410,17702418,19985440,18869751,21130090,17619152,19615420,21062271,24121260,20219523,24907120,18596723,23273310,21295782,27518700,26040604,31837740,26999657,32343820,26451315,32486260,33045628,40923400,28898873,36961300,28771554,36639000,20214266,26002600,4551319,5980500,5772481,7693500,4671975,6459500,4833469,6771100,6292453,8831080,5132340,7227120
Northern Mariana Islands,MP,126832,317050,363297,763100,716908,1384950,1033553,1879300,1336062,2141640,1560970,2169900,1755533,2223900,1991752,2424480,1924463,2320340,2068875,2512140,1921435,2242640,2414982,2927150,2604573,3052280,2610237,3013750,3105412,3559270,2927661,3359610,2951384,3401610,1978684,2294340,444026,527520,560360,669550,451300,545020,455599,553320,573038,702150,461821,572780
Ohio,OH,10237515,20998725,46677039,64320060,121194958,157351095,209398214,267441750,276565080,339588970,309808095,366537040,326781150,377729800,351946618,414743495,284882830,348625900,363729619,455028935,328681542,421569550,410551021,515869505,430840696,541918740,426931024,540369215,537229776,687375905,475795537,616116585,17847588,23256755,200942851,266627105,73997557,99863620,93856747,128526975,76097799,107383820,78358655,112134320,101220627,146180325,82507450,119878040
Oklahoma,OK,4996046,8435425,19305426,24946735,46843795,64233605,71474282,99168940,85087069,115587500,93242740,119307570,100705055,122343790,112593947,137074810,112324200,136851750,125488322,150584410,117021861,144282820,137901094,166194030,142843631,171609790,141601245,171596630,178459022,218186730,157945823,194293710,160694323,199767710,108327545,136076040,24361606,31331850,30876353,40280600,24960723,33520640,25536069,34866140,32753296,45403000,26575720,37001960
Oregon,OR,4380794,8268800,18352528,24070525,43840821,55447815,74328488,94761320,107680446,137796260,129921833,166293330,139926066,171215790,150293361,184780585,138063151,175962595,157678432,202673455,147618330,192456925,176589905,223651025,184121987,234044930,184175993,234917085,232413497,297971735,206647787,266861695,212592361,275778095,144322449,189050730,32593709,43798040,41227683,56245925,33421360,46917440,34425004,49677040,44493270,66750340,36464858,53463020
Pennsylvania,PA,11771152,25231625,50060466,74913455,134767032,176893955,244098739,306520510,343778335,420698170,400039535,461847900,427126165,478486450,464597122,527083995,443373603,522878410,420104164,498809465,,,139147306,177873555,546124155,704047940,546485227,707378795,689557391,903261775,609283474,811637475,626990651,839064375,425248087,574685650,96116790,132670360,121931404,170452625,98330240,143323340,101589635,150800640,131370101,196944615,107208394,161320420
Puerto Rico,PR,2788902,6644275,10467316,20025130,24549195,46685350,44107459,77802520,69413369,108232050,88603394,120468380,116022200,127108000,126925423,133556240,126205186,132323260,140548015,144481420,56904116,59967140,152818217,167384020,78724690,87621500,,,,,,,,,,,,,,,,,,,,,,
Republic of Palau,PLW,16230,54000,135732,229200,326625,453200,483903,686800,646832,738000,735995,738000,689555,700650,851346,892830,782838,811980,911910,959610,825762,812860,955353,966230,1060054,1043440,1141243,1099750,1405799,1319700,1132709,1077760,1285497,1218630,868230,834420,196370,187560,246736,235050,198000,190760,149633,145070,253493,250250,204745,203590
Rhode Island,RI,1098499,2258250,4270175,6231825,12556681,15007605,22397527,26585180,31454149,40251800,36720776,44781100,39118021,46077990,42171899,49485245,40029576,46902650,43874955,51142945,41250539,48773675,49978427,58300955,50910742,59740945,52718556,61548065,66529520,77733675,59087740,68975675,60513200,71077975,41016329,48567850,9250487,11129800,11715898,14243925,9518727,11944800,9836930,12546900,12735685,16473675,10394382,13452470
South Carolina,SC,4309071,7669550,19902762,24812725,50560499,64319085,82783371,113025260,106149035,145055930,119344811,156020650,128967208,162169880,142591080,182855975,141765911,185464990,159644646,209796625,148770151,201863855,174669559,233134635,180777636,243480870,165084468,225631545,227392149,312770825,199392132,279324925,204521721,288257725,138536605,196969150,31175660,45448600,39515896,58624675,31959619,48872600,32657900,50779500,41867751,65922465,34002665,53808540
South Dakota,SD,1278225,1812275,4781288,5783330,11899425,14782845,18351219,23287780,22348694,27605440,23157829,27500505,25038649,29270820,27133103,31990245,26077172,31809090,15937201,20406850,27173380,35863175,32677900,41828375,33846825,43343450,33554549,43450105,42314602,55241015,37584534,49769655,38584898,51558355,26140423,35277770,5903609,8172660,7514133,10575025,6093739,8898960,6259648,9386360,8095183,12350720,6608419,10138830
Tennessee,TN,7105363,13383175,24746319,35988735,61710943,87736260,102166047,145270070,134921975,173797400,151898736,192442320,167533300,194687740,186584201,223936980,185504440,232351670,208229799,260388520,195166044,247164980,231122832,286571250,238796744,299745170,236572670,300428590,299555546,383556830,265560301,342908310,270866223,353236910,172814625,227708210,41158934,55348620,52117446,71197850,42183112,59235220,43097592,61583620,55074391,80195210,44571403,65656140
Texas,TX,28422289,48992875,98573378,131582595,258035305,349179090,471869283,624062750,631613046,850327320,732799588,936537070,796139161,974416730,891804945,1106453885,687348180,887782100,970149734,1252717055,895382585,1182521795,1052356110,1369232595,1096137692,1437870080,1094083490,1444905175,1300980411,1724985235,1238810052,1644167245,,,,,,,240057224,339575825,193848389,281381100,195802013,291877100,252117640,381231200,205215834,307000290
Utah,UT,3368785,5723700,13434864,15703210,31639049,37922740,53508686,63070780,71550116,86349720,81463650,95300610,87697066,98752640,87367278,99184570,93604331,109514620,103620621,121749920,96726914,118725470,116336439,141143950,116830615,141445970,124129725,147589550,157909473,187463650,139507497,167126650,141587396,171436450,90010540,110435050,21582437,26981000,27377143,34594850,22184059,28770900,22853701,30035500,29449378,39737750,24030721,32101500
Vermont,VT,804326,1449950,3027618,4014995,7543451,9750440,13101140,16109080,17982482,21453820,24600986,27290040,3415760,3690580,17311112,19420200,24823551,28557580,27189398,32055050,26212605,31016350,32125431,36883340,33753316,39820720,17312831,21729270,14943540,18945250,27666779,35376500,38407357,49371970,26109308,33790420,5908176,7803760,7496241,10036950,4577316,6293670,6386980,8974160,8332513,11913490,6835840,9718560
Virgin Islands,VI,55401,234750,313446,646170,903930,1455850,1596353,1901400,2016998,2082250,2246275,2302680,2428467,2473510,2792206,3026420,2679276,2960860,3077225,3342220,2836368,2910340,3381508,3524640,3493726,3636360,3465153,3630400,4370032,4545560,3853471,3994420,3955808,4110720,2665494,2778980,595425,629440,746497,793400,601750,646740,605083,655040,762334,831700,614069,673260
Virginia,VA,7904408,17608200,38044735,47701865,93300808,111203955,162676797,196180160,227398033,272368450,265098154,304272310,284061202,317183330,298596865,337263940,285586272,334220155,328255211,385898895,310175880,373482665,372911980,440129685,390345518,461278830,389984154,461345305,495559514,586619035,439497458,523366395,449334762,538522395,185668985,224434935,68357045,84772940,86615737,108724225,70368223,90911940,72498229,95568040,93472809,125205300,76534950,101763760
Washington,WA,7239895,14197650,31885302,41401175,82815287,103468850,142756404,176337120,202928577,246628660,244294848,275785960,255703887,277193175,201555047,218747870,76115759,90222160,288944073,345335835,270463114,334107415,323863196,396108255,339693808,412728840,341017077,414121905,432757816,528089345,384658851,473125565,394471219,488212865,103894575,129799865,60519204,77527680,76698223,99621875,62304989,83511080,64635621,88811480,84216742,116698145,68875965,95862910
West Virginia,WV,3134373,4042575,9526677,10708370,21657164,26804845,31490821,43636550,37416569,52131750,41014042,56102010,44117188,57825720,46467846,67272035,42879813,81251680,45722639,89045475,40902062,82612615,14083681,20358040,66433972,94830000,65382674,94711965,82136877,120681455,72690751,108271115,74120995,111806215,50047824,76465910,11260186,17630980,14255806,22662925,11521650,18917280,11794519,19775680,15091498,25627025,12225177,20969130
Wisconsin,WI,4803339,10374675,25961784,31784985,67262201,75619935,115771552,130788250,153370823,169878540,170856436,180903380,181499928,187193310,195537651,206744215,186057530,201783640,205185622,228049615,194081443,222836985,234623410,262199255,245823400,273475330,244380988,272914265,307850236,345982495,272961497,308481215,280122037,319508615,190056550,218793810,42912115,50399180,54400209,64643525,44082913,54106280,45619462,57492880,59317945,76355055,48525349,62300830
Wyoming,WY,601066,1188475,2731646,3580415,6501108,8915415,9475760,13568990,11330666,14835980,12277800,15339440,11807735,14078725,14282192,17160745,14100712,17651350,15841135,20343445,15071479,19730795,17850913,22631365,17585296,22253105,18090950,23028505,2927324,3743240,,,13495433,17879030,13635870,18235530,2298445,3168255,3878753,5399425,3134201,4479940,3217926,4646740,4147396,6072295,3360892,4948640
