States,Total_vaccinations,Total_distributed,People_vaccinated,People_fully_vaccinated_per_hundred,Total_vaccinations_per_hundred,People_fully_vaccinated,People_vaccinated_per_hundred,Total_boosters_per_hundred,Total_boosters,Share_doses_used,Daily_vaccinations_per_million,Daily_vaccinations,Daily_vaccinations_raw,Distributed_per_hundred
Hawaii,54178634,63235600,31948223,1684.51,3826.54,23850597,2256.45,,,26.563,42354,59967,63178,4466.2
Idaho,43818858,57604880,23624974,1184.25,2452,21163194,1322.01,8.47,151249,23.614,46734,83516,85779,3223.45
Illinois,350522493,397024295,202521931,1238.82,2766.15,156983544,1598.22,,,22.075,71094,900875,742543,3133.07
Indian Health Svc,47472422,57837305,26433204,1040.35,2279.27,21668839,1269.11,2.47,51392,25.457,35861,74695,73307,2776.91
Indiana,193476084,227162890,101705699,1401.24,2873.87,94335514,1510.72,12.12,816290,26.412,50458,339696,346554,3374.27
Iowa,99809195,115207365,53659477,1567.5,3163.46,49455400,1700.77,5.54,174640,26.86,50066,157963,164410,3651.48
Kansas,86985105,105786545,50106001,1444.96,2985.78,42095781,1719.9,,,25.498,70744,206114,209866,3631.11
Kentucky,135455595,152870895,75677098,1455.25,3031.92,65016592,1693.87,2.58,114889,27.476,77510,346300,359706,3421.73
Long Term Care,245448640,,,,,,,,,,,29036,30231,
Louisiana,121749261,151221740,67038228,1205.09,2618.95,56022694,1442.05,12.16,565176,25.002,120946,562273,548521,3252.93
Maine,52781644,61131520,29126030,2006.2,3926.61,26967185,2166.75,2.37,31884,26.768,53857,72396,76630,4547.74
Marshall Islands,1082580,1487700,599935,889.99,1853.36,519824,1027.05,0.65,385,21.105,38175,2230,1810,2546.78
Maryland,229416763,280220680,124722185,1863.63,3794.75,112670258,2062.96,3.12,189071,25.379,63357,383014,383950,4635.06
Massachusetts,288385912,316772970,158219481,2011.89,4184.05,138669239,2295.54,4.01,276203,28.223,47533,327623,328832,4595.92
Michigan,309622928,384949890,167932910,1538.72,3100.29,153669356,1681.54,,,24.941,37947,378985,388229,3854.58
Minnesota,193088542,216424060,105730936,1697.25,3423.8,95719082,1874.79,2.4,134936,27.67,52028,293423,296147,3837.57
Mississippi,71596348,98207445,40129997,1118.07,2405.65,33275506,1348.39,2.52,75100,22.634,104642,311430,297503,3299.83
Missouri,177245782,214918655,96983040,1338.78,2887.96,82167356,1580.22,11.89,729441,25.575,80264,492622,462453,3501.8
Montana,30883255,36627185,16845375,1398.11,2889.54,14942237,1576.13,6.87,73465,26.154,45857,49009,48575,3427
Nebraska,62052282,69922730,33477063,1569.45,3207.83,30359355,1730.59,5.75,111179,27.516,61397,118765,124540,3614.67
Nevada,95696996,108476500,53486588,1426.88,3106.89,43949706,1736.51,14.36,442425,27.362,77566,238919,241330,3521.8
New Hampshire,45844073,55062840,25125006,1651.96,3371.61,22461895,1847.84,10.07,136910,23.311,69055,93893,85111,4049.61
New Jersey,331177726,388826615,187382286,1855.05,3728.57,164768686,2109.65,,,26.409,70845,629252,624624,4377.62
New Mexico,79340812,79157415,43989038,1812.65,3783.87,38007920,2097.88,2.66,55687,31.087,73488,154099,155036,3775.09
New York State,733255145,809744275,393958010,1814.62,3769.24,353009085,2025.11,14.85,2891191,28.079,71994,1400568,1419956,4162.49
North Carolina,312325815,392771530,173840113,1392.24,2977.9,146018587,1657.49,7.02,736107,24.653,69019,723840,744654,3744.94
North Dakota,21062271,24121260,11069613,1265.46,2763.83,9643587,1452.59,26.35,200735,27.099,44296,33758,34194,3165.28
Northern Mariana Islands,1991752,2424480,1050133,1690.41,3501.54,961519,1846.12,1.03,584,25.465,99172,5641,5715,4262.22
Ohio,351946618,414743495,185647874,1469.36,3010.91,171755152,1588.2,13.01,1521601,26.317,46363,541926,544517,3548.15
Oklahoma,112593947,137074810,62209789,1295.01,2845.44,51243117,1572.14,12.1,478651,25.473,90801,359294,369046,3464.12
Oregon,150293361,184780585,81417890,1765.11,3563.38,74447912,1930.36,2.85,119866,25.217,52111,219789,229206,4381.06
Pennsylvania,464597122,527083995,268003425,1665.44,3629.11,213209435,2093.48,3.39,434701,27.333,65149,834058,855088,4117.2
Puerto Rico,126925423,133556240,70440482,1902.33,3974.28,60755266,2205.6,,,29.458,76500,244318,263187,4181.9
Republic of Palau,851346,892830,492585,2429.32,4754.27,435015,2750.8,,,29.557,142514,2552,2721,4985.85
Rhode Island,42171899,49485245,22832628,1953.47,3980.88,20694419,2155.33,0.37,3908,26.419,59279,62798,63961,4671.25
South Carolina,142591080,182855975,78615700,1296.48,2769.44,66751789,1526.9,8.46,435828,24.184,74232,382205,401815,3551.49
South Dakota,27133103,31990245,14955383,1487.59,3067.09,13160021,1690.53,,,26.302,55651,49231,48326,3616.1
Tennessee,186584201,223936980,99876355,1248.83,2732.14,85285212,1462.48,19.19,1310672,25.857,77815,531427,566292,3279.14
Texas,891804945,1106453885,490880275,1409.77,3075.64,408777868,1692.93,17.12,4964446,25.001,93619,2714535,2744688,3815.87
United States,11087736525,12989319085,6150966050,1577.63,3339.7,5237675313,1852.73,7.59,25171058,26.469,72873,24193251,24571561,3912.5
Utah,87367278,99184570,48746431,1292.99,2725.15,41453100,1520.5,6.65,213150,24.676,74221,237956,223215,3093.74
Vermont,17311112,19420200,9421337,1347.37,2774.28,8407359,1509.86,12.62,78787,17.827,24305,15163,17415,3112.27
Veterans Health,169876354,194070340,90349521,,,85464060,,,62920,27.133,,103406,102394,
Virgin Islands,2792206,3026420,1508392,1179.34,2667.39,1234560,1440.95,13.12,13737,28.596,102686,10749,10329,2891.09
Virginia,298596865,337263940,162842373,1673.42,3498.28,142834086,1907.82,8.3,707628,26.566,63975,546062,541297,3951.3
Washington,201555047,218747870,109344001,1286.87,2646.86,97992503,1435.91,,,20.272,51870,394979,330970,2872.64
West Virginia,46467846,67272035,25855396,1219.37,2592.86,21853175,1442.71,0.39,6967,21.55,14255,25546,26379,3753.73
Wisconsin,195537651,206744215,103186624,1635.52,3358.35,95228181,1772.26,14.39,837699,29.33,50911,296421,305713,3550.82
Wyoming,14282192,17160745,7778730,1163.11,2467.75,6731722,1344.04,10.59,61269,25.812,50363,29148,30808,2965.08
Sep,20512671412,24474961640,11127410580,84085.01,177435.52,9536649777,96869.1,3469.78,399943021,1394.043,4055734,46541955,40436466,215281.87
Alabama,117718522,174898370,68226650,1100.61,2400.83,53964853,1391.47,,,18.173,88539,434120,352222,3567.03
Alaska,21345559,28331380,11485774,1368.31,2917.86,10009970,1570.07,96.57,706410,21.101,78200,57207,51615,3872.8
American Samoa,1590355,1679080,879848,1304.36,2855.74,726405,1579.95,,,25.585,105822,5893,5228,3015.06
Arizona,224383979,270693190,118781762,1399.04,3082.76,101831753,1631.9,157.25,11445260,23.21,89190,649189,601074,3718.96
Arkansas,81991483,109375420,46272245,1233.75,2716.92,37232734,1533.32,37.65,1135589,20.992,75835,228850,203133,3624.31
Bureau of Prisons,6243610,6576040,3357914,,,3184656,,,14305,26.593,,11320,11252,
California,1384335715,1600455100,779710543,1612.7,3503.57,637215191,1973.35,45.57,18009991,24.22,67898,2682790,2393971,4050.55
Colorado,196374542,224532500,104218883,1632.32,3410,94001252,1809.74,93.35,5375025,24.485,61709,355376,328423,3899.01
Connecticut,138193377,153967120,74897932,1890.31,3876.1,67394167,2100.74,43.14,1538048,25.131,60011,213949,201991,4318.53
Delaware,32995032,42548670,17799361,1584.69,3388.39,15431140,1827.9,117.89,1147942,21.715,51153,49810,47180,4369.5
Dept of Defense,150218781,143499480,83511191,,,62974252,,,9488284,29.314,,803759,759202,
District of Columbia,27306425,33484450,13690644,1648.85,3869.15,11636583,1939.87,416.17,2937225,22.834,73003,51523,47433,4744.49
Federated States of Micronesia,1946643,2318310,1215216,983.52,1878.24,1019326,1172.52,14.1,14592,23.511,71573,7418,6231,2236.89
Florida,727382907,888553390,395107409,1553.65,3386.69,333689480,1839.61,146.11,31380784,22.92,91678,1968949,1879538,4137.08
Georgia,288165984,392757050,158909223,1221.67,2714.1,129709061,1496.69,65.94,6999993,20.544,86899,922634,952563,3699.16
Guam,6310147,6378520,3444562,1828.47,3806.61,3030948,2077.96,43.11,71466,27.713,119493,19808,18069,3847.89
Hawaii,45820307,55994190,26786488,1416.31,3236.19,20053319,1891.88,11.94,169266,20.464,64400,91179,78179,3954.75
Idaho,42441776,59446040,22922217,1134.06,2374.94,20266409,1282.69,57.43,1026553,19.992,57379,102538,97811,3326.45
Illinois,,,,,,,,,,,59790,757830,,
Indian Health Svc,45077664,57234400,24943138,988.46,2164.29,20588058,1197.57,20.14,419558,22.052,34664,72204,70618,2747.96
Indiana,184471713,225404180,96767114,1328.06,2740.15,89407267,1437.37,76.73,5165961,22.918,48419,325958,314104,3348.15
Iowa,94741565,114130830,50623567,1483.77,3002.82,46812914,1604.52,39.74,1253681,23.249,47033,148388,146778,3617.37
Kansas,84254598,104878620,47960332,1396.64,2892.06,40689075,1646.27,,,22.5,60284,175621,164243,3600
Kentucky,4569505,5225825,2556333,48.66,102.28,2174020,57.22,0.59,26477,0.874,42332,189145,15232,116.97
Long Term Care,222653600,,,,,,,,,,,35843,36519,
Louisiana,122598980,156121230,66135241,1226.21,2637.22,57004473,1422.62,77.35,3596044,21.993,70520,327835,305176,3358.31
Maine,49967170,58519320,27472548,1883,3717.21,25311498,2043.76,27.77,373313,23.91,60015,80672,80942,4353.44
Marshall Islands,1070148,1408800,598726,891.96,1832.08,521037,1025,3.93,2272,20.514,36394,2126,2158,2411.75
Maryland,218387557,272746310,117789645,1763.44,3612.32,106613482,1948.33,33.8,2043393,22.422,61265,370372,344415,4511.44
Massachusetts,270067427,301083800,147651318,1877.58,3918.29,129410587,2142.2,33.13,2281457,25.118,46796,322537,297885,4368.28
Michigan,291380551,371012610,157074817,1441.4,2917.64,143948895,1572.8,7.37,737697,21.992,42394,423372,412845,3715.04
Minnesota,182938097,212399330,99188608,1602.49,3243.8,90374701,1758.79,27.38,1543232,24.118,49143,277151,261737,3766.19
Mississippi,74728657,103382680,40738792,1160.54,2510.94,34538970,1368.85,48.51,1443452,20.237,108614,323257,335821,3473.71
Missouri,171807034,214255130,92659036,1306.94,2799.32,80212387,1509.74,75.61,4642140,22.454,55768,342283,346928,3490.96
Montana,29645906,36248900,16059243,1327.88,2773.82,14192065,1502.57,59.98,641163,22.898,60011,64139,67404,3391.61
Nebraska,59393531,69027290,31724258,1498.46,3070.36,28985970,1640,44.3,856735,24.098,55804,107951,90211,3568.41
Nevada,92717158,108776890,51370925,1386.13,3010.16,42695514,1667.79,88.82,2735269,23.869,63838,196634,171844,3531.57
New Hampshire,48207007,58666580,26080853,1701.83,3545.4,23140197,1918.11,64.56,877797,23.011,46146,62744,64714,4314.66
New Jersey,293770349,353832930,164932960,1639.95,3307.4,145663270,1856.88,,,21.592,60204,534727,479157,3983.64
New Mexico,37618856,38968680,20798645,853.32,1794.08,17892680,991.92,12.17,255177,13.516,52351,109775,70780,1858.44
New York State,705997577,801347340,379025938,1740.3,3629.14,338550380,1948.38,90.75,17656012,24.668,79185,1540398,1431630,4119.29
North Carolina,305985182,390065030,170124684,1351.67,2917.45,141764197,1622.08,50.3,5276260,21.963,78603,824422,781024,3719.12
North Dakota,20219523,24907120,10638694,1204.01,2653.25,9175305,1396.03,159.24,1213522,22.737,56908,43368,41822,3268.38
Northern Mariana Islands,1924463,2320340,991955,1647.63,3383.26,937217,1743.88,29.35,16701,23.238,59582,3389,3014,4079.23
Ohio,284882830,348625900,150028894,1186.37,2437.16,138673310,1283.5,65.23,7625234,19.615,38050,444758,397316,2982.5
Oklahoma,112324200,136851750,61234242,1287.93,2838.64,50963151,1547.5,85.71,3391654,22.982,83419,330077,305510,3458.47
Oregon,138063151,175962595,74643141,1606.88,3273.4,67774026,1769.74,30.76,1296666,21.189,61493,259363,219092,4171.97
Pennsylvania,443373603,522878410,254663734,1586.25,3463.31,203072047,1989.23,27.37,3502566,23.749,61971,793393,732846,4084.35
Puerto Rico,126205186,132323260,69312693,1887.17,3951.73,60270425,2170.3,9.79,313399,26.753,140994,450293,400607,4143.28
Republic of Palau,782838,811980,451955,2194.32,4371.65,392937,2523.91,6.65,1190,25.101,138104,2473,1741,4534.46
Rhode Island,40029576,46902650,21855041,1866.11,3778.66,19768897,2063.05,,,23.897,63399,67165,61653,4427.45
South Carolina,141765911,185464990,77505484,1274.1,2753.43,65601166,1505.34,68.53,3528008,21.399,88439,455341,405937,3602.19
South Dakota,26077172,31809090,14343759,1415.35,2947.71,12521151,1621.38,11.36,100484,22.956,60624,53632,56691,3595.65
Tennessee,185504440,232351670,98391517,1226.26,2716.35,83743656,1440.74,130.11,8884357,22.357,83028,567022,552336,3402.34
Texas,687348180,887782100,373067217,1083.89,2370.5,314287863,1286.63,89.71,26009843,17.034,77414,2244668,1648022,3061.74
United States,10334325084,12450898945,5682007019,1463.77,3112.78,4859766792,1711.45,55.64,184753328,22.411,69259,22993873,19863775,3750.33
Utah,93604331,109514620,51929676,1378.49,2919.69,44194564,1619.8,46.03,1474835,23.932,60345,193460,191899,3415.97
Vermont,24823551,28557580,13451874,1925.69,3978.19,12016081,2155.82,83.77,522659,24.341,37568,23442,21237,4576.63
Veterans Health,157183035,178683790,83302158,,,78684570,,,1160777,24.63,,138148,138209,
Virgin Islands,2679276,2960860,1420384,1161.4,2559.5,1215746,1356.9,75.45,78981,24.451,70785,7410,6693,2828.5
Virginia,285586272,334220155,154456275,1593.37,3345.87,136002650,1809.55,63.17,5390183,23.073,75237,642213,572825,3915.64
Washington,76115759,90222160,40784421,483.9,999.57,36849872,535.58,20.27,1544132,6.748,21553,164145,119305,1184.81
West Virginia,42879813,81251680,23927247,1121.73,2392.62,20102921,1335.13,2.34,42048,14.786,18101,32437,35278,4533.73
Wisconsin,186057530,201783640,97866948,1549.82,3195.56,90236763,1680.85,90.82,5287762,25.82,54662,318261,291474,3465.6
Wyoming,14100712,17651350,7641669,1129.26,2436.37,6535531,1320.36,89.33,516869,22.381,72444,41928,41904,3049.88
Oct,22380207152,27119906490,11937880029,91818.48,196837.3,10340017712,104778.34,7678.23,869623984,1437.237,4820552,55166692,50282669,240900.39
Alabama,136241000,201540050,76230296,1271.71,2778.62,62353303,1554.72,36.41,1785742,19.605,67485,330882,315137,4110.39
Alaska,24137830,32183125,12389616,1499.27,3299.57,10967824,1693.61,237.49,1737318,21.746,110260,80658,74489,4399.31
American Samoa,1863065,2001630,1009907,1560.74,3345.48,869165,1813.51,0.58,318,27,75170,4186,3732,3594.27
Arizona,238187209,288856780,122935198,1460.89,3272.4,106331945,1688.94,232.29,16909225,23.091,76320,555506,526334,3968.52
Arkansas,90963468,122945300,49743306,1359.37,3014.24,41023498,1648.33,101.48,3062031,21.459,73487,221756,224557,4073.99
Bureau of Prisons,6790314,7509590,3628956,,,3454055,,,49844,26.225,,11811,13174,
California,1521001178,1757635805,839281924,1746.92,3849.44,690239911,2124.09,116.55,46051656,25.099,84274,3329745,3402332,4448.34
Colorado,215879710,248699525,111311492,1757.22,3748.79,101192540,1932.91,194.87,11223162,25.179,89581,515876,515617,4318.61
Connecticut,151479651,170376315,80334499,2025.43,4248.73,72211961,2253.22,138.87,4951263,25.789,96978,345751,336635,4778.78
Delaware,36367604,46787945,19150895,1708.08,3734.76,16632658,1966.67,211.43,2058916,22.542,96085,93566,80587,4804.83
Dept of Defense,173395256,159433220,94682873,,,72835840,,,12489218,31.535,,549823,494969,
District of Columbia,29975829,36664655,14868838,1779.83,4247.36,12561258,2106.82,504.9,3563301,23.711,93747,66163,68154,5195.14
Federated States of Micronesia,2156641,2539680,1316957,1110.36,2080.83,1150821,1270.69,13.22,13704,24.627,31214,3235,2222,2450.43
Florida,803731527,988417495,424134776,1702.46,3742.17,365654720,1974.75,227.8,48929094,23.583,81190,1743759,1696377,4602.06
Georgia,321125102,438283235,172265768,1361.53,3024.52,144561239,1622.47,116.2,12335597,21.25,71906,763451,808316,4127.96
Guam,7136437,7055250,3773567,2061.15,4305.07,3416733,2276.38,133.96,222121,29.33,133480,22127,20188,4256.12
Hawaii,56024023,70835670,31934662,1710.44,3956.85,24217603,2255.49,95.92,1358084,22.945,72945,103280,95608,5002.98
Idaho,47657809,67836280,24949787,1242.09,2666.81,22197111,1396.14,137.65,2459820,20.377,82379,147222,153504,3795.97
Illinois,48337687,58415125,24887251,180.95,381.46,22929469,196.4,17.43,2209322,2.483,64003,811218,195447,460.98
Indian Health Svc,48952398,62848495,26605718,1060.33,2350.29,22084935,1277.36,58.45,1216559,22.588,41170,85748,87316,3017.48
Indiana,202821234,252468610,103581405,1427.42,3012.7,96096222,1538.61,156.31,10522921,23.302,66944,450683,481857,3750.16
Iowa,103970742,129195585,53885416,1590.09,3295.34,50169183,1707.92,130.96,4132028,23.346,80537,254090,258659,4094.87
Kansas,93185390,117556765,51724350,1516.56,3198.59,44181878,1775.42,22,641363,22.99,82511,240383,238931,4035.14
Kentucky,14677028,19132395,7696213,151.88,328.52,6785061,172.26,17.24,770343,2.301,37609,168057,43914,428.24
Long Term Care,55913779,,,,,,,,,,,21944,50785,
Louisiana,136623164,173645710,71232126,1353.47,2938.9,62920905,1532.25,149.24,6939028,22.816,74471,346197,341195,3735.27
Maine,54821103,65238380,29363161,2017.96,4078.31,27125984,2184.42,130.11,1748769,24.373,100076,134526,144742,4853.29
Marshall Islands,1199585,1630000,673754,997.85,2053.59,582887,1153.4,7.88,4626,21.351,32304,1887,1824,2790.44
Maryland,205319178,258607270,108444558,1627.93,3396.15,98419660,1793.74,96.53,5835502,19.853,89185,539182,453795,4277.55
Massachusetts,293180084,331439880,157538890,1996.69,4253.6,137620346,2285.65,115.34,7950583,25.661,86348,595154,622106,4808.7
Michigan,245610478,312560380,126672603,1167.21,2459.34,116569814,1268.39,106.73,10658123,17.288,81158,810529,623322,3129.73
Minnesota,201183717,238199690,105281127,1713.32,3567.33,96626650,1866.82,140.98,7951036,24.502,91182,514234,538608,4223.68
Mississippi,83746074,114601945,44182593,1297.62,2813.92,38619342,1484.57,103.62,3084049,21.191,66266,197218,172863,3850.69
Missouri,190110352,235990815,99532210,1420.24,3097.57,87165785,1621.72,155.54,9545506,23.364,78031,478918,514841,3845.1
Montana,33067382,40935685,17320680,1436.71,3093.94,15355131,1620.61,164.3,1755623,23.425,90276,96486,101915,3830.13
Nebraska,65360889,77881220,33787971,1610.77,3378.86,31158553,1746.67,140.99,2727140,24.343,82272,159147,161229,4026.1
Nevada,102137120,121213410,55488934,1506.18,3315.96,46392659,1801.51,151.29,4659580,24.438,76043,234223,234717,3935.31
New Hampshire,53502644,64683070,28731082,1806.34,3934.86,24561217,2113.01,164.9,2242474,23.987,116278,158102,149322,4757.12
New Jersey,345720526,420817475,190174653,1898.7,3892.28,168645424,2141.05,14.87,1320180,23.826,83397,740695,751946,4737.76
New Mexico,16824600,19313060,9049241,372.01,802.39,7800286,431.57,26.73,560366,5.227,30931,64874,51913,921.08
New York State,776434709,892314735,411137726,1894.38,3991.24,368526016,2113.44,146.48,28502677,25.24,84049,1635040,1636610,4586.88
North Carolina,344413677,438534080,188826593,1494.95,3283.82,156792122,1800.39,103.75,10880677,22.781,99007,1038378,997553,4181.28
North Dakota,18596723,23273310,9531113,1083.46,2440.31,8256538,1250.7,201.19,1533142,19.186,76722,58467,54043,3054
Northern Mariana Islands,2068875,2512140,1045948,1759.32,3637.12,1000734,1838.77,80.28,45665,23.883,45341,2579,2637,4416.35
Ohio,363729619,455028935,186812738,1483.47,3111.68,173402937,1598.17,152.18,17787963,23.186,73670,861135,926396,3892.75
Oklahoma,125488322,150584410,66598977,1419.62,3171.29,56174498,1683.07,157.89,6247219,24.165,83190,329181,326528,3805.54
Oregon,157678432,202673455,82638550,1797.67,3738.46,75820953,1959.28,134.61,5677648,22.564,90173,380322,388946,4805.26
Pennsylvania,420104164,498809465,239400785,1478.46,3281.56,189271156,1870.06,62.78,8039864,21.057,96736,1238424,1010403,3896.33
Puerto Rico,140548015,144481420,74793196,2093.26,4400.79,66851807,2341.88,86.71,2769605,28.207,103294,329879,354549,4523.98
Republic of Palau,911910,959610,519184,2530.3,5092.46,453105,2899.36,41.45,7423,27.559,34510,618,498,5358.91
Rhode Island,43874955,51142945,23587135,2023.27,4141.66,21433402,2226.55,41.1,435399,24.883,92798,98310,103418,4827.72
South Carolina,159644646,209796625,84339103,1416.5,3100.67,72931895,1638.09,148.07,7623923,22.073,86965,447751,434068,4074.72
South Dakota,15937201,20406850,8606260,834.97,1801.49,7386869,972.82,52.98,468694,12.505,75385,66690,41461,2306.75
Tennessee,208229799,260388520,106368439,1355.19,3049.13,92549214,1557.55,223.22,15245197,23.193,84472,576875,536699,3812.9
Texas,970149734,1252717055,509140391,1519.48,3345.8,440588676,1755.9,190.89,55346268,22.457,73112,2119910,2156874,4320.31
United States,10984377280,13333549385,5892665864,1534.01,3308.58,5092871773,1774.9,122.02,405086395,22.246,81819,27163575,23393791,4016.18
Utah,103620621,121749920,55915635,1517.57,3232.11,48652389,1744.13,103.05,3303224,24.684,79448,254708,271778,3797.6
Vermont,27189398,32055050,14247900,2042.85,4357.33,12747176,2283.35,231.24,1442872,24.604,114627,71526,73866,5137.12
Veterans Health,169804360,190936580,88354493,,,82561003,,,5200419,25.792,,318897,340039,
Virgin Islands,3077225,3342220,1593703,1331.03,2939.67,1393340,1522.47,125.41,131302,26.699,64837,6787,6648,3192.8
Virginia,328255211,385898895,172825830,1796.91,3845.73,153373130,2024.81,158.68,13543655,24.673,97651,833501,847975,4521.08
Washington,288944073,345335835,151008353,1809.41,3794.46,137786396,1983.06,153.97,11722564,24.269,94464,719328,691614,4535.01
West Virginia,45722639,89045475,25272569,1182.92,2551.27,21199660,1410.16,29.24,524374,14.894,25235,45224,39238,4968.66
Wisconsin,205185622,228049615,104503601,1667.87,3524.05,97110135,1794.82,196.42,11435522,26.104,90717,528194,549188,3916.74
Wyoming,15841135,20343445,8348690,1243.89,2737.08,7199212,1442.52,163.56,946758,22.585,84837,49101,44670,3515
Nov,20129723769,25117464750,10339326736,82297.29,185171.28,8915176762,94722.88,14792.37,1585094597,1221.775,7187221,80436935,56854940,231683.21
Alabama,126144024,190294410,67910918,1135.56,2572.71,55679059,1385.04,127.41,6246831,16.573,79489,389742,324162,3881.01
Alaska,22860127,30860385,11140918,1335.28,3124.92,9768197,1522.93,386.38,2826516,18.518,116351,85115,76455,4218.53
American Samoa,1667561,1786380,884298,1616.47,3456.56,779944,1832.68,36.12,17198,21.506,42327,2028,1783,3701.68
Arizona,229139668,283959650,113773341,1346.91,3148.06,98038323,1563.11,340.43,24779510,20.176,109956,800339,616115,3901.25
Arkansas,84668433,117543650,44612860,1216.66,2805.64,36716314,1478.31,195.49,5899992,18.01,93751,282927,194058,3895
Bureau of Prisons,6241941,7028930,3235812,,,3093481,,,226016,22.2,,18514,12948,
California,1418804277,1684120785,755591180,1555.21,3590.81,614504482,1912.29,246.75,97498553,21.068,137835,5446086,3962226,4262.27
Colorado,203758700,239864745,99794098,1559.69,3538.27,89818618,1732.91,368.68,21230920,21.241,155789,897161,707599,4165.22
Connecticut,142201104,163565565,72472365,1783.61,3988.47,63590673,2032.74,322.08,11483656,21.736,164355,585977,471475,4587.73
Delaware,27000323,35867790,13683785,1209.65,2772.76,11779146,1405.24,264.62,2576882,15.056,109840,106959,154439,3683.42
Dept of Defense,160681624,143039620,87991286,,,67946224,,,11028037,28.084,,370626,286027,
District of Columbia,27965209,34842075,13717786,1586.48,3962.49,11196576,1943.71,559.96,3951726,20.072,142483,100558,75148,4936.89
Federated States of Micronesia,1948901,2404590,1178956,1010.82,1900.96,1036363,1149.94,23.77,24351,18.711,40465,4144,4491,2345.6
Florida,741554372,929893215,377515597,1512.14,3452.66,324774559,1757.71,328.16,70486845,19.939,111022,2384466,1752855,4329.56
Georgia,260164659,365641140,134689587,1073.8,2450.36,114008572,1268.56,167.38,17771342,15.658,82858,879746,684417,3443.78
Guam,6590449,6245620,3335416,1819.33,3921.52,3057376,1984.77,265.36,446222,24.298,109643,18450,15827,3716.8
Hawaii,50758814,67960930,28442733,1508.89,3584.97,21363857,2008.86,162.68,2302853,18.675,75957,107548,79879,4799.92
Idaho,45100228,65954100,22298230,1114.42,2523.71,19915267,1247.75,260.42,4653714,17.1,96020,171592,128562,3690.64
Illinois,202537406,247040160,101235358,730.47,1598.33,92563446,798.9,123.11,15601714,9.842,134654,1706267,883762,1949.52
Indian Health Svc,44916968,58909075,23800776,934.84,2156.55,19470871,1142.74,120.36,2506900,19.062,67183,139933,106049,2828.33
Indiana,187342031,242373550,91972603,1255.74,2782.78,84539541,1366.12,258.02,17370975,19.331,85443,575224,465137,3600.22
Iowa,98908615,125785675,48093062,1402.78,3134.92,44258435,1524.3,326.76,10309361,19.664,143406,452453,449385,3986.78
Kansas,87756357,114220605,46760385,1347.38,3012.25,39254071,1605.06,155.92,4541758,19.214,121180,353034,313107,3920.65
Kentucky,128894482,169089655,65604341,1285.22,2885.06,57419464,1468.43,240.26,10733065,19.058,114434,511249,395148,3784.74
Louisiana,125867049,163558740,63463678,1206.38,2707.53,56081812,1365.18,222.57,10347443,19.242,76720,356651,249815,3518.3
Maine,52398105,63212250,26567330,1785.69,3898.07,24003380,1976.42,363.57,4887040,20.722,194693,261708,239170,4702.55
Marshall Islands,1099685,1552030,613358,714.37,1486.96,528511,830.04,18.55,14032,16.34,42174,3183,2472,2095.68
Maryland,206558962,268381460,103298741,1534.45,3416.63,92767502,1708.63,289.12,17479356,17.701,153062,925370,702144,4439.24
Massachusetts,274698361,319960890,142518812,1759.2,3985.49,121251870,2067.73,286.81,19768571,21.465,168758,1163159,859566,4642.16
Michigan,301945139,393774130,148654031,1350.82,3023.4,134904682,1488.53,280.96,28059864,19.171,123198,1230384,1109462,3942.94
Minnesota,193379284,231038120,94299058,1541.15,3428.93,86916139,1672.08,352.37,19873068,20.927,178358,1005865,888515,4096.67
Mississippi,77259114,108187455,39366074,1159.52,2595.94,34509321,1322.73,178.04,5298352,17.858,74240,220942,200146,3635.13
Missouri,177257342,223805235,89233993,1258.89,2888.11,77262718,1453.93,264.16,16212332,19.804,100545,617089,498351,3646.56
Montana,31470144,39584895,15550365,1279.93,2944.48,13679714,1454.97,324.91,3472751,19.876,129508,138417,115043,3703.75
Nebraska,61398763,75361670,30147982,1419.67,3174.02,27462641,1558.5,301.48,5831818,20.369,127144,245952,241299,3895.82
Nevada,94893243,114974220,49893101,1343.26,3080.81,41374980,1619.79,246.42,7591105,20.637,105230,324128,238276,3732.72
New Hampshire,37860000,47154180,20679088,1205.35,2784.43,16389173,1520.84,160.73,2185421,15.259,134737,183206,147304,3467.96
New Jersey,321932489,404522235,170777567,1676.66,3624.48,148924897,1922.7,157.16,13960902,19.905,132990,1181256,908553,4554.34
New Mexico,74293208,86572455,38856394,1570.61,3543.12,32933014,1853.09,238.14,4993321,21.454,147223,308700,238450,4128.75
New York State,715063783,853058515,369517013,1689.52,3675.76,328674630,1899.48,233.32,45390473,20.961,118472,2304664,1818225,4385.09
North Carolina,323619728,426491030,175805166,1336.29,3085.59,140149879,1676.26,175.93,18452374,18.975,113854,1194118,980034,4066.43
North Dakota,21295782,27518700,10696898,1198.91,2794.52,9136499,1403.67,299.55,2282851,19.345,124558,94923,75396,3611.09
Northern Mariana Islands,1921435,2242640,945174,1671.39,3655.49,878995,1797.91,229.21,119879,19.739,152707,7987,5232,4264.57
Ohio,328681542,421569550,159819963,1258.56,2811.86,147117958,1367.24,290.12,33914250,18.713,122394,1430697,980212,3606.52
Oklahoma,117021861,144282820,60377067,1270.31,2957.36,50266677,1525.84,241.84,9569356,20.286,101762,402666,293479,3646.32
Oregon,147618330,192456925,73528261,1585.81,3499.91,66886085,1743.3,307.29,12962062,19.175,137218,578757,433951,4563.03
