States,Total_vaccinations,Total_distributed,People_vaccinated,People_fully_vaccinated_per_hundred,Total_vaccinations_per_hundred,People_fully_vaccinated,People_vaccinated_per_hundred,Total_boosters_per_hundred,Total_boosters,Share_doses_used,Daily_vaccinations_per_million,Daily_vaccinations,Daily_vaccinations_raw,Distributed_per_hundred
Montana,24580133,31325400,13787967,1072.16,2299.84,11458945,1290.06,,,23.534,113724,121544,109011,2930.98
Nebraska,47439646,57146280,26547802,1158.84,2452.4,22416769,1372.4,,,24.891,154949,299737,281438,2954.23
Nevada,69060859,81390710,39314126,992.14,2242.13,30558854,1276.34,,,25.439,156262,481306,450514,2642.45
New Hampshire,13627493,17005005,8736460,427.55,1002.24,5813524,642.51,,,8.817,203491,276690,68784,1250.65
New Jersey,248499402,300091630,149185822,1301.48,2797.74,115598961,1679.6,,,24.856,216840,1926024,1781165,3378.56
New Mexico,12987427,14557725,7609228,273.98,619.37,5744729,362.89,,,6.244,69497,145711,100598,694.27
New York State,533960103,630273190,301953281,1251,2744.77,243362694,1552.15,,,25.403,221290,4304883,3968931,3239.88
North Carolina,230401155,321069590,130069198,1005.05,2196.78,105407792,1240.15,,,21.529,122089,1280496,1162845,3061.29
North Dakota,17702418,19985440,9289431,1047.52,2322.95,7982771,1218.99,,,26.57,73863,56288,52094,2622.56
Northern Mariana Islands,1336062,2141640,723186,1084.99,2348.85,617158,1271.37,,,18.726,156149,8882,8495,3765.12
Ohio,276565080,339588970,150929021,1110.18,2366.01,129771501,1291.18,,,24.424,143375,1675907,1521974,2905.21
Oklahoma,85087069,115587500,47552256,961.93,2150.28,38062935,1201.79,,,22.079,75993,300705,273222,2921.08
Oregon,107680446,137796260,63372527,1145.76,2553.06,48325166,1502.53,,,23.476,250272,1055593,1008208,3267.06
Pennsylvania,343778335,420698170,208661655,1154.89,2685.34,147850115,1629.9,,,24.498,211498,2707595,2519913,3286.21
Puerto Rico,69413369,108232050,42778885,924.17,2173.44,29515003,1339.48,,,19.199,263049,840096,815079,3388.93
Republic of Palau,646832,738000,389292,1683.78,3612.19,301510,2173.95,,,26.288,237951,4261,4065,4121.4
Rhode Island,31454149,40251800,18039193,1351.87,2969.17,14321167,1702.81,,,23.457,251128,266035,246336,3799.62
South Carolina,106149035,145055930,59830598,934.03,2061.64,48089622,1162.08,,,21.945,113663,585218,524659,2817.35
South Dakota,22348694,27605440,12312806,1214.67,2526.23,10745775,1391.82,,,24.284,100369,88793,76787,3120.48
Tennessee,134921975,173797400,75546486,868.39,1975.65,59303461,1106.21,,,23.271,132069,901920,833929,2544.89
Texas,631613046,850327320,357346576,953.61,2178.28,276511751,1232.39,,,22.28,152586,4424402,4056464,2932.57
United States,8118436034,10254142040,4707015796,1091.63,2445.35,3624185315,1417.79,,,23.741,178355,59212631,54769173,3088.64
Utah,71550116,86349720,40827934,861.67,2231.78,27624348,1273.52,,,24.865,152888,490156,446424,2693.39
Vermont,17982482,21453820,10701292,1240.11,2881.85,7738244,1714.97,,,22.621,346805,216402,189481,3438.19
Veterans Health,153643725,187156290,82072063,,,75434797,,,,24.628,,377569,334256,
